product,week01,week02,week03,week04,week05,week06,week07,week08,week09,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52
P507,0.17,0.7,0.17,0.53,0.1,0.3,0.4,0.5,0.4,0.4,0.47,0.43,0.4,0.6,0.37,0.33,0.47,0.43,0.6,0.27,0.63,0.5,0.7,1,0.73,0.57,0,0.13,0.1,0.33,0.17,0.37,0.17,0.3,0.17,0.23,0.4,0.23,0.17,0.27,0.13,0.33,0.3,0.03,0.27,0.2,0.1,0.27,0.23,0.53,0.43,0.73
P508,0.43,0.5,0.43,0.64,0.57,1,0.07,0.5,0.36,0.5,0.29,0.43,0.64,0.29,0.64,0.43,0.29,0.21,0.64,0.79,0.14,0.43,0.64,0.71,0.79,0.5,0,0.21,0.5,0.79,0.07,0.36,0.36,0.43,0.21,0.57,0.21,0.43,0.14,0.36,0.07,0.29,0.29,0.57,0.14,0.29,0.07,0.29,0.36,0.14,0.79,0.64
P509,0.64,0.27,0.27,0,0.64,0.09,1,0.18,0.27,0.45,0.18,0.36,0.45,0.36,0.45,0.18,0.45,0.36,0.18,0.18,0.55,0.36,0.27,0.91,0.82,0.18,0.27,0,0.18,0.18,0.18,0.09,0.09,0.36,0.36,0.36,0.18,0.36,0.45,0.45,0.18,0.18,0.27,0.09,0.27,0.18,0.64,0.27,0.45,0.27,0.45,0.36
P510,0.54,0.15,0.62,0.31,0.23,0.69,0.62,0.31,0.31,0.54,0.54,0.46,0.69,0.38,0.38,0.46,0.38,0.54,0.23,0.85,0.62,0.38,0.77,0.23,0.77,1,0.46,0.08,0.23,0.15,0.15,0,0.23,0.23,0.62,0.08,0.46,0.08,0.23,0.38,0.31,0.15,0.23,0.46,0.62,0.08,0.31,0.15,0.38,0.62,0.54,0.92
P511,0.35,0.27,0.54,0.65,0.15,0.42,0.58,0.38,0.19,1,0.23,0.54,0.65,0.42,0.46,0.62,0.58,0.46,0.35,0.42,0.58,0.12,0.04,0.46,0.65,0.85,0.31,0.35,0.31,0.12,0.23,0.08,0.35,0,0.08,0.04,0.27,0.15,0.27,0.31,0.38,0.19,0.23,0.12,0.19,0.12,0.23,0.19,0.35,0.19,0.12,0.46
P512,0.33,0.33,0.3,0.3,0.7,0.37,0.33,0.33,0.3,0.44,0.48,0.22,0.41,0.07,0.37,0.67,0.44,0.33,0.63,0.22,0.44,0.7,0.48,0.78,0.93,0.81,0.15,0,0.15,0.15,0.44,0.11,0,0.22,0.33,0.22,0.33,0.26,0.15,0.26,0.33,0.37,0.07,0.22,0.52,0.52,0.41,0.44,0.41,0.78,0.67,1
P513,0.75,0.8,0.9,0.7,0.9,0.5,0.15,0.8,0.85,0.7,0.55,0.85,0.45,0.55,0.75,0.8,1,0.5,0.65,0.65,0.3,0.6,0.7,0.65,0.9,0.25,0.4,0.1,0.4,0.5,0,0.2,0.5,0.85,0.45,0.65,0.2,0.55,0.05,0.15,0.4,0.5,0.35,0.3,0.5,0.45,0.55,0.5,0.55,0.25,0.6,0.75
P514,0.18,0.59,0.53,0.41,0.29,0.88,0.18,0.47,0.71,0.18,0.29,0.65,0.29,0.53,0.24,1,0.47,0.53,0.35,0.24,0.53,0.53,0.29,0.53,0.71,0.94,0.71,0.35,0.41,0.18,0.12,0.06,0.18,0.41,0.29,0.88,0.35,0,0.24,0.24,0.47,0.94,0.24,0.65,0.35,0.41,0.29,0.53,0.47,0.18,0.53,0.71
P515,0.46,0.85,0.85,0.77,0.62,0.31,0.31,0.38,0.15,0.54,0.54,0.46,0.15,0.15,1,0.54,1,0.62,0.23,0.23,0.62,0.31,0.62,0.85,0.77,0.69,0.54,0.46,0.31,0.08,0.31,0.31,0.23,0.31,0,0.23,0,0.08,0.38,0,0.38,0.23,0.15,0.31,0.08,0.15,0.15,0.54,0.23,0.38,0.31,0.62
P516,0.68,0.41,0.27,0.55,0.5,0.45,0.55,0.73,0.55,0.18,1,0.5,0.64,0.41,0.32,0.41,0.27,0.73,0.64,0.73,0.77,0,0.64,0.64,0.59,0.77,0.27,0.32,0.27,0.5,0.18,0.27,0.32,0.36,0.45,0.18,0.23,0.36,0.36,0.27,0.59,0.23,0.64,0.14,0.18,0.14,0.55,0.45,0.09,0.5,0.5,0.5
P517,0.65,0.65,0.45,0.45,0.9,0.7,0.4,0.55,0.4,0.55,0.45,0.4,0.65,0.75,0.2,1,0.55,0.45,0.55,0.5,0.75,0.4,0.8,0.5,0.8,0.55,0.15,0.4,0.05,0.25,0.6,0.3,0.45,0.25,0.2,0.25,0.55,0.5,0.9,0.35,0.25,0.4,0.35,0,0.5,0.45,0.15,0.4,0.5,0.6,0.5,0.6
P518,0.8,0.2,0.73,0.6,0.53,1,0.33,0.4,0.73,0.27,0.8,0.8,0.4,0.87,0.53,0.4,0.4,0.53,0.13,0.67,0.47,0.47,0.53,0.73,0.53,0.87,0.2,0.13,0.6,0.07,0.4,0.27,0.13,0.33,0.4,0.4,0.2,0.6,0.33,0.27,0.13,0.27,0.13,0.73,0.07,0,0.07,0.4,0.13,0.4,0.8,0.93
P519,1,0.85,0.46,0.46,0.73,1,0.65,0.54,0.88,0.73,0.46,0.77,0.69,0.88,0.15,0.85,0.88,0.77,0.46,0.73,0.62,0.58,0.69,0.42,0.54,0.81,0.46,0.46,0.35,0.27,0.19,0.46,0.23,0.65,0.46,0.42,0,0.46,0.65,0.42,0.77,0.65,0.54,0.46,0.81,0.46,0.35,0.12,0.46,0.12,0.69,0.65
P520,0.32,0.47,0.42,0.68,0.26,0.32,0.79,0.47,0.79,0.58,0.53,0.58,0.58,0.63,0.47,0.53,0.63,0.79,0.47,0.79,0.26,0.84,0.53,0.47,0.58,0.63,0.21,0,0.47,0.42,0.42,0.32,0.53,0.58,0.53,0.32,0.26,0.11,0.26,0.16,0.26,0.42,0.58,0.42,0.53,0.42,0.26,0.32,0.47,0.79,0.63,1
P521,0.28,0.61,0.61,0.44,0.61,0.5,0.17,0.17,0.22,1,0.56,0.56,0.39,0.22,0.83,0.22,0.17,0.61,0.17,0.33,0.44,0.83,0.67,0.33,0.39,0.44,0.22,0.33,0.11,0.33,0.06,0.33,0.5,0.44,0,0.28,0.28,0.39,0.5,0.22,0.5,0.67,0.67,0.22,0.39,0.39,0.22,0.5,0.39,0.11,0.33,0.39
P522,0.53,0.73,0.8,0.4,1,0.47,0.33,0.13,0.4,0.2,1,0.67,0.47,0.6,0.53,0.33,0.73,0.6,0.4,0.4,0.4,0.73,0.33,0.47,0.6,0.93,0.07,0.33,0.33,0.47,0,0.6,0.73,0,0.4,0.27,0.4,0.53,0.53,0.27,0.53,0.2,0.4,0.13,0.13,0.07,0.6,0.2,0.2,0.33,0.87,0.33
P523,0.21,0.64,0.5,0.79,0.93,0.29,0.79,1,0.36,0.36,1,0.29,0.43,0.86,0.5,0.43,1,0.36,0.57,0.36,0.79,0.71,0.64,0.57,0.71,0.71,0.21,0,0.21,0.14,0.21,0.21,0.21,0.21,0.29,0.57,0.29,0.21,0.14,0.43,0.79,0.14,0.29,0.36,0.21,0.36,0.29,0.29,0.36,0.5,0.36,0.57
P524,0.58,0.32,0.37,0.21,0.42,0.26,0.26,0.16,0.42,0.37,0.37,0.89,1,0.63,0.16,0.58,0.37,0.37,0.68,0.47,0.37,0.47,0.47,0.47,0.32,0.58,0.26,0.32,0.05,0.42,0.42,0,0.21,0.16,0.42,0.21,0.21,0.11,0.16,0.21,0.05,0.68,0.53,0.32,0.42,0.37,0.26,0.11,0.32,0.26,0.26,0.47
P525,0.65,0.47,0.65,0.65,0.06,0.18,0.59,0.35,1,0.71,0.41,0.47,0.35,0.59,0.53,0.76,0.41,0.59,0.35,0.59,0.59,0.59,0.59,0.65,0.94,0.47,0.47,0.47,0.35,0.18,0.65,0.18,0.53,0.47,0.24,0.65,0.53,0.41,0.47,0.76,0,0.24,0.35,0.47,0.53,0.47,0.47,0.24,0.47,0.29,0.65,0.41
P526,0.04,0.19,0.27,0.38,0.27,0.08,0.08,0.35,0.46,0.23,0.27,0.46,0.15,0.12,0.46,0.35,0.38,0.62,0.27,0.42,0.58,0.46,0.69,0.58,1,0.65,0.04,0.12,0.19,0.23,0,0.08,0.31,0.23,0.12,0,0.08,0.35,0.19,0.35,0.12,0,0.15,0.08,0.12,0.58,0.46,0.12,0.35,0.31,0.31,0.73
P527,0.14,0.93,0.43,0.64,0.29,0.79,0.71,0.86,0.21,0.86,0.57,0.43,0.14,0.79,0.79,0.21,0.43,0.5,0,0.57,0.21,0.57,0.36,0.14,0.57,0.36,0.14,0.36,0,0.14,0.43,0.07,0.36,0.29,0.5,0.43,0.5,0.43,0.29,0,0.21,0.86,0.21,0.36,0.07,1,0.57,0.43,0.14,0.14,0.93,0.43
P528,0.35,0.35,0.4,0.15,0.55,1,0.6,0.45,0.75,0.65,0.35,0.8,0.75,0.4,0.4,0.6,0.4,0.45,0.5,0.45,0.45,0.75,0.35,0.8,0.85,0.7,0.05,0.15,0.5,0,0.4,0.1,0.35,0.4,0.25,0.3,0.15,0.4,0.4,0.35,0.15,0.35,0.6,0.2,0.2,0.65,0.25,0.4,0.6,0.45,0.5,0.7
P529,0.6,0.87,0.73,0.47,0.6,0.67,0.6,0.4,0.73,0.2,0.8,0.8,1,0.73,0.8,0.67,0.33,0.87,0.67,0.2,1,0.53,0.6,0.87,1,0.47,0,0.47,0.4,0.4,0.4,0.8,0.4,0.8,0.47,0.73,0.13,0.4,0.53,0.47,0.47,0.33,0.47,0.6,0.47,0.87,0.47,0.2,0.6,0.73,0.47,0.73
P530,0.78,0.28,0.89,0.44,0.5,0.78,0.5,0.61,0.44,0.83,0.56,0.78,0.22,0.44,0.44,0.56,0.67,0.72,0.5,0.61,0.89,1,0.83,0.89,0.89,0.83,0.44,0.06,0.06,0.22,0.17,0.28,0.44,0.72,0,0.5,0.17,0.5,0.33,0.44,0.72,0.5,0.61,0.56,0.56,0.5,0.44,0.5,0.44,0.44,0.89,0.83
P531,0.33,0.78,0.22,0.11,0.33,0.44,0.22,0.56,0.22,0.22,0.44,0.44,0.78,0.22,1,0.33,0.44,0.44,0.22,0.89,0.22,0.44,0.33,0.22,0.33,0.89,0.44,0.56,0.44,0.89,0.22,0.11,0.56,0.33,0.44,0.33,0.44,0.33,0.22,0.67,0.33,0.89,0.22,0.44,0,0.44,0.67,0.44,0.44,0.56,0.33,0.56
P532,0.8,0.13,0.47,0.33,0.6,0.33,0.33,0.2,0.8,0.07,0.4,0.27,0.27,1,0.73,0.2,0.4,0.33,0.13,0.27,0.4,0.67,0.73,0.73,0.93,0.6,0.27,0.13,0.27,0.13,0.2,0.13,0.67,0.2,0.6,0.4,0.4,0.27,0.73,0,0.4,0.27,0.27,0.4,0.07,0.4,0.4,0.6,0.2,0.47,0.33,0.8
P533,0.55,0.72,0.31,0.86,0.28,0.55,0.59,0.38,0.52,0.38,0.38,0.41,0.59,0.86,1,0.48,0.59,0.34,0.38,0.48,0.79,0.28,0.52,0.24,0.55,0.59,0.41,0.28,0.24,0.1,0.14,0.28,0.38,0.34,0.41,0.1,0.28,0.21,0.41,0.03,0.34,0.38,0.24,0.28,0.41,0.24,0.21,0.34,0,0.52,0.59,0.9
P534,0.24,0.47,0.41,0.29,0.29,0.41,0.35,0.35,0.65,0.53,0.35,0.18,0.29,0.41,0.47,0.29,0.47,0.94,0.82,0.65,0.59,0.29,0.47,0.41,1,0.88,0.18,0.35,0.59,0.06,0.06,0.53,0.47,0.29,0.29,0.47,0.41,0.35,0.29,0.35,0,0.12,0.24,0.24,0.71,0.41,0.24,0.59,0.47,0.53,0.41,0.47
P535,0.29,0.65,0.16,0.29,0.42,0.29,0.32,0.42,0.42,0.55,0.58,0.58,0.42,0.65,0.42,0.32,0.45,0.55,0.45,0.1,0.23,0.55,0.71,0.68,0.65,0.68,0,0.26,0.23,0.06,0.39,0.32,0.29,0.35,0.03,0.39,0.23,0.35,0.1,0.32,0.32,0.32,0.19,0.39,0.23,0.16,0.45,0.45,0.65,0.65,0.61,1
P536,0.58,0.32,0.53,0.53,0,0.95,0.47,0.42,0.47,0.32,0.16,0.47,0.42,0.53,0.32,0.58,0.79,0.63,0.53,0.37,0.21,0.58,0.89,0.84,0.68,0.63,0.42,0.05,0.21,0.26,0.32,0.32,0.37,0.37,0.74,0.26,0.42,0.05,0.63,0.11,0.42,0.37,0.63,0.05,0.42,0.32,0.42,0.16,0.63,0.63,0.74,1
P537,0.57,0.38,0.43,0.57,0.52,0.57,0.76,0.57,0.38,0.52,0.48,0.76,0.33,0.1,0.38,0.86,0.43,0.52,0.33,0.86,0.57,0.76,0.76,0.67,0.81,0.9,0.19,0.19,0.33,0.19,0.43,0.1,0.33,0.62,0.62,0.1,0.19,0.38,0.57,0.24,0.19,0.33,0.33,0.24,0.38,0.1,0.24,0,0.48,0.86,1,0.57
P538,0.05,0.05,0.32,0.36,0.23,0.23,0.32,0.5,0.41,0,0.05,0.36,0.59,0.45,0.32,0.18,0.23,0.86,0.41,0.14,0.59,0.77,0.27,0.41,1,0.14,0.05,0.14,0.18,0.14,0.59,0.27,0.14,0.41,0,0.27,0.32,0.14,0.05,0.23,0.23,0,0.18,0.18,0.09,0.32,0.14,0.41,0.23,0.45,0.55,0.86
P539,0.46,0.54,0.85,0.31,0.15,1,0.46,0.69,0.69,0,0.62,0.54,0.85,0.85,0.38,0.77,1,0.38,0.38,0.54,0.38,0.54,0.77,0.85,0.46,0.46,0.15,0.62,0.46,0.15,0.38,0.46,0.38,0.15,0.46,0.54,0.38,0.77,0.08,0.23,0.46,0.15,0.08,0.46,0.46,0.31,0.46,0.31,0.38,0.77,0.62,0.46
P540,0.81,0.62,0.71,0.81,0.67,0.71,0.57,0.29,0.81,1,0.62,0.24,0.24,0.81,0.67,0.57,0.81,0.81,0.86,0.76,0.67,0.43,0.43,0.62,0.76,0.71,0.52,0.24,0.67,0.33,0,0.38,0.14,0.24,0.71,0.48,0.43,0.14,0.67,0.48,0.81,0.38,0.33,0.38,0.33,0.57,0.86,0.48,0.19,0.57,0.52,0.52
P541,0.44,0.78,0.11,0.61,0.39,0.39,0.33,0.39,0.56,0.28,0.72,0.44,0.28,0.39,0.33,0.89,0.06,1,0.39,0.33,0.67,0.67,0.56,0.67,0.28,0.28,0.22,0.28,0.22,0.56,0.33,0.39,0.61,0,0.56,0.17,0.39,0.61,0.06,0.56,0.28,0.44,0.11,0.5,0.22,0.44,0.11,0.44,0.28,0.56,0.78,0.89
P542,0.47,0.59,0.18,0.53,0.41,0.53,0.41,0.24,0.53,0.47,0.29,0.47,0.47,0.29,0.59,0.47,0.29,0.47,0.41,0.12,0.18,0.47,0.47,0.53,0.41,1,0.06,0.29,0.12,0.29,0.41,0.24,0,0.41,0.24,0.53,0.24,0.35,0.41,0.35,0.29,0.35,0.41,0.24,0.18,0.24,0.41,0.88,0.24,0.88,0.82,0.41
P543,0.38,0.15,0.92,0.38,0.15,0.85,0.85,0.46,0.23,0.69,0.54,0.62,0.62,0.77,0.31,0.77,1,0.46,0.85,0.54,0.54,0.69,0.54,0.92,0.77,0.85,0.08,0.54,0.23,0,0.54,0.46,0.46,0.15,0.23,0.62,0.08,0.08,0.54,0.23,0.54,0.69,0.54,0.23,0.85,0.15,0.31,0.23,0.62,0.31,0.38,0.38
P544,0.71,0.41,0.65,0.24,0.53,0.59,0.53,0.41,0.76,0.76,0.65,0.29,0.71,0.82,0.65,0.41,0.41,0.53,0.47,0.47,0.65,0.65,0.53,0.88,0.41,0.47,0.41,0.41,0.29,0.06,0.47,0.12,0.65,1,0.41,0.47,0.53,0.35,0,0.35,0.29,0.94,0.47,0.59,0.18,0.71,0.47,0.47,0.35,0.53,0.59,0.41
P545,0.29,0.29,0.38,0.33,0.29,0.71,0.48,0.9,0.19,0.71,0.29,0.86,0.19,0.24,0.62,0.52,0.57,1,0.24,0.67,0.76,0.57,0.57,0.95,0.67,0.81,0.29,0.05,0.62,0.29,0.29,0.19,0.19,0.14,0.43,0.14,0.19,0.43,0.38,0.1,0.33,0,0.33,0.52,0.29,0.19,0.24,0.33,0.24,0.62,0.52,0.71
P546,0.39,0.61,0.56,0.44,0.33,0.56,0.89,0.39,0.44,0.5,0.28,0.33,0.83,0.72,0.5,0.28,0.61,0.28,0.61,0.17,0.33,0.61,1,0.44,0.56,0.39,0.28,0.22,0.33,0.33,0.94,0.61,0.33,0.17,0,0.44,0.22,0.39,0.39,0.22,0.5,0.72,0.44,0.61,0.39,0.44,0.33,0.28,0.94,0.89,0.61,0.67
P547,0.38,0.15,0.54,0.08,0.38,1,0.38,0.38,0.69,1,0.54,0.54,0.85,0.38,0.54,1,0.23,0.38,0.77,0.77,0.38,0.46,0.23,0.46,0.69,0.92,0,0.62,0.15,0.46,0.38,0.38,0.23,0.15,0.69,0.46,0.31,0.23,0.62,0.46,0.08,0.31,0.38,0.23,0.54,0.69,0.54,0.31,0.08,0.69,0.46,0.77
P548,0.41,0.3,0.59,0.51,0.81,0.62,0.49,0.59,0.62,0.54,0.57,0.38,0.32,0.65,0.65,0.46,0.43,0.41,1,0.51,0.59,0.57,0.59,0.49,0.19,0.11,0.38,0.27,0.43,0.38,0.22,0.27,0.24,0.57,0.22,0,0.46,0.32,0.49,0.3,0.14,0.43,0.54,0.08,0.14,0.54,0.59,0.24,0.19,0.32,0.3,0.35
P549,0.65,0.42,0.85,0.54,0.58,0.46,0.69,0.92,0.85,1,0.85,0.77,0.62,0.62,0.69,0.77,0.5,0.65,1,0.77,0.69,0.88,0.58,0.77,0.5,0.62,0.08,0.23,0.35,0.5,0.27,0,0.65,0.04,0.62,0.19,0.08,0.38,0.35,0.62,0.04,0.65,0,0.65,0.08,0.62,0.5,0.58,0.46,0.27,0.46,0
P550,0.47,0.4,0.13,0.47,0.47,1,0.73,0.2,0.4,0.27,0.8,0.67,0.53,0.33,0.33,0.73,0.33,0.33,0.13,0.33,0.4,0.13,0,0.47,0.47,0.27,0.27,0.2,0.2,0.07,0.4,0.53,0.47,0.2,0.2,0.27,0.2,0.13,0.47,0.33,0.2,0.13,0.27,0.13,0.47,0.47,0.07,0.13,0.2,0.47,0.6,0.13
P551,0.15,0.38,0.69,0.54,0.46,0.38,1,0.46,0.62,0.31,0.54,0.38,0.46,0.54,0.92,0.77,0.15,0.77,0.54,0.31,1,0.54,0.54,0.38,0.69,0.23,0.54,0.38,0.08,0.38,0.46,1,0.23,0.54,0.77,0.62,0.08,0.46,0.54,0.15,0.15,0.46,0,0.23,0.69,0.46,0.38,0.62,0.38,0.46,0.46,0.31
P552,1,0.5,0.58,0.42,0.67,1,0.67,0.75,0.5,0.5,0.42,0.75,0.58,0.58,0.83,0.58,0.17,0.5,0.42,0.42,0.42,0.75,0.5,0.08,0.92,0.25,0.33,0.5,0.33,0.83,0.42,0.25,0.5,0,0.33,0.25,0.25,0.5,0.33,0.25,0.33,0.42,0.5,0.67,0.5,0.25,0.25,0.33,0.17,0.75,0.25,0.42
P554,0.64,0.23,1,0.82,0.55,0.5,0.41,0.59,0.32,0.32,0.95,0.59,0.36,0.09,0.55,0.55,0.5,0.36,0.05,0.32,0.5,0.55,0.32,0.41,0.55,0.59,0.23,0.09,0.36,0.23,0.64,0.18,0.36,0.14,0.09,0.32,0.41,0,0.45,0.23,0.45,0.27,0.14,0.09,0.41,0.32,0.14,0.18,0.14,0.55,0.55,0.27
P555,0.44,0.78,0.83,0.33,0.5,0.56,0.39,0.22,0.67,0.39,0.33,0.28,0.72,0.67,0.44,0.72,0.67,0.28,1,0.39,0.83,0.44,0.22,0.44,1,0.5,0.5,0.61,0.56,0.22,0.5,0.22,0.22,0.5,0.72,0.28,0.39,0.28,0.33,0.22,0,0.56,0.17,0.61,0.83,0.28,0.11,0.22,0.11,0.56,0.78,0.22
P556,0.35,0.19,0.77,0.35,0.27,0.19,0.23,0.15,0.31,0.19,0.46,0.65,0.62,0.38,0,0.38,0.54,1,0.08,0.69,0.35,0.27,0.92,0.54,0.69,0.42,0.15,0.46,0.35,0.15,0.19,0.12,0.31,0.23,0.04,0.04,0.38,0.23,0.35,0,0.31,0.19,0.31,0.46,0.19,0.19,0.19,0.27,0.31,0.38,0.54,0.88
P557,0.45,0.3,0.67,0.64,0.61,0.42,0.61,0.42,0.36,0.58,0.82,0.45,0.64,0.33,0.55,0.3,0.42,0.24,1,0.48,0.24,0.24,0.42,0.67,0.42,0.33,0.27,0.09,0.18,0.45,0.3,0.03,0.12,0.24,0.09,0.3,0.52,0.21,0.06,0.18,0.21,0.03,0.36,0.15,0.48,0.52,0.52,0.18,0,0.36,0.33,0.52
P558,0.63,0.31,0.63,0.5,0.69,0.19,0.19,0.69,0.56,0.25,0.25,0.5,0.81,0.31,0.5,0.44,0.63,0.63,0.75,0.44,0.88,0.19,0.63,0.63,0.75,0.5,0.19,0.38,0.25,0.06,0.56,0,0.69,0.44,0.13,0.75,0.38,0,0.38,0.25,0.25,0.19,0.06,0.56,0.38,0.63,0.06,0.19,0.38,0.25,0.63,1
P559,0.39,0.5,0,0.83,0.33,0.5,0.22,0.39,0.11,0.61,0.72,0.44,0.56,0.44,0.89,0.44,0.39,0.33,0.5,0.28,0.67,0.5,0.33,0.44,1,0.39,0.44,0.39,0.28,0.17,0.44,0.28,0.33,0.17,0.17,0.61,0.22,0.56,0.17,0.17,0.5,0.5,0.11,0.56,0.22,0.22,0.33,0.22,0.33,0.17,0.67,0.56
P560,0.4,0.4,0,0.27,0.53,0.33,0.47,0.53,0.53,0.4,0.53,0.87,0.47,0.73,0.4,0.47,0.6,0.6,0.4,0.27,0.67,0.47,1,0.8,0.2,0.73,0.07,0.27,0,0.27,0.13,0.13,0.53,0.07,0.67,0.47,0.27,0.47,0.47,0.4,0.47,0.73,0.27,0.33,0.4,0.33,0.53,0.6,0.27,0.4,0.47,0.8
P563,0.13,1,0.13,0.5,0.44,0.75,0.44,0.19,0.38,0.25,0.5,0.5,0.5,0.25,0.31,0.44,0.88,0.13,0.5,0.44,0.44,0.38,0.31,0.38,0.56,0.25,0.25,0.06,0.19,0,0,0.63,0.06,0.25,0.25,0.25,0.25,0.38,0.19,0.31,0.13,0.06,0.25,0.44,0.44,0.31,0.25,0.56,0.44,0.63,0.5,0.38
P564,0.41,0,0.18,0.23,0.09,0.27,0,0.36,0.32,0.41,0.36,0.36,0.45,0.41,0.14,0.41,0.32,0.09,0.18,0.32,1,0.27,0.23,0.27,0.23,0.05,0,0.18,0.14,0.14,0.05,0.18,0.14,0.14,0.23,0.5,0.27,0.23,0.55,0.18,0.41,0.14,0.09,0.23,0.32,0.23,0.27,0.05,0.05,0.05,0,0.27
P565,0.08,0.33,0.58,0.67,0.42,0.83,0.92,0.67,0.67,0.5,0.33,0.42,0.33,0.42,0.5,0.17,0.5,0.42,0.33,0.17,0.75,1,0.58,0.58,0.58,0.5,0,0.33,0.08,0.33,0.5,0.75,0.5,0.17,0.25,0.58,0.25,0.33,0.17,0.5,0.25,0.42,0.83,0.33,0.25,0.25,0.67,0.75,0.75,0.25,0.42,0.58
P566,0.74,0.83,0.65,0.74,0.57,0.26,0.43,0.61,0.48,0.48,0.61,1,0.65,0.74,0.35,0.65,0.91,0.48,0.43,0.65,0.43,0.48,0.43,0.26,0.7,0.52,0.39,0.48,0.04,0.7,0.52,0.35,0.61,0.35,0.39,0.43,0,0.61,0.43,0.65,0.22,0.26,0.57,0.04,0.35,0.52,0,0.57,0.65,0,0.3,0.78
P567,0.25,0.75,0,1,0.63,0.5,0,0.5,0.13,0.5,0.5,0.38,0.88,0.88,0.13,0.5,0.75,0.13,0.25,0,0.38,0.63,0.5,0.13,0.13,0.38,0.13,0.25,0.25,0.13,0,0.38,0.38,0.5,0.63,0.13,0.88,0.13,0.75,0.25,0.5,0.13,0.13,0.38,0.5,0.13,0.25,0.13,0.38,0.13,0,0.25
P586,0.42,0,0.17,0.33,0.5,0.5,0.42,0.08,0.08,0.5,0.33,0.17,0.17,0.17,0.92,0.08,0.33,0.5,0.17,0.5,0.25,0.67,0.42,0.58,0.92,1,0.33,0.17,0.42,0.25,0.42,0.17,0.17,0.5,0.25,0,0.08,0.25,0.17,0.17,0.42,0.5,0.08,0,0.33,0,0.42,0.25,0.17,0.25,0.83,0.75
P596,0.09,0.18,0.36,0.27,0.18,0.18,0.55,0.18,0.18,0.27,0.36,0.27,0.73,0.55,0.36,0.91,0.36,0.73,0.82,0.45,0.27,0.82,0.64,0.55,0.45,1,0.18,0.27,0,0.09,0,0.36,0.36,0.45,0.45,0.09,0.45,0.55,0.27,0.55,0.36,0,0.45,0.45,0.55,0.09,0.82,0.36,0.18,0.55,1,0.55
P598,0.35,0.17,0.17,0.57,0.35,0.52,0.35,0.3,0.43,0.43,0.39,0.48,0.74,0.39,0.61,0.61,0.52,0.52,0.52,0.83,0.39,0.39,0.65,0.7,0.61,1,0.26,0.26,0.3,0,0.17,0.22,0.35,0.3,0.3,0.13,0.26,0.61,0.57,0.48,0.22,0.26,0.43,0.52,0.43,0.43,0.43,0.48,0.52,0.61,0.74,0.83
P612,0.43,0.29,0.38,0.19,0.38,0.43,0.33,1,0.71,0.38,0.29,0.43,0.52,0.14,0.19,0.48,0.52,0.57,0.48,0.57,0.9,0.24,0.52,0.52,0.52,0.71,0.52,0,0.14,0.19,0.1,0.05,0.24,0.33,0.33,0.1,0.38,0,0.29,0.24,0.14,0.62,0.19,0.67,0.57,0.29,0.43,0.48,0.43,0.38,0.33,0.48
P613,0.29,0.51,0.11,0.26,0.43,0.2,0.29,0.31,0.71,0.66,0.37,0.69,0.37,0.26,0.6,0.34,0.34,0.43,0.34,0.54,0.34,0.63,0.6,0.71,1,0.66,0.03,0.26,0.23,0.26,0.17,0.2,0.14,0,0.14,0.49,0.23,0.6,0.26,0.26,0.31,0.31,0.46,0.51,0.37,0.49,0.49,0.46,0.6,0.43,0.74,0.63
P614,0.23,0.23,0.08,0.15,0.23,0.38,0.31,0.54,0.23,0.15,0.23,0.46,0.38,0.31,0.23,0.62,0.62,0.31,0.38,0.38,0.38,0.31,0.62,0.38,0.38,1,0.38,0.31,0,0.46,0.31,0.38,0.38,0.15,0.23,0.08,0.08,0.15,0.23,0.38,0.31,0.62,0.31,0,0.46,0.31,0.46,0.08,0.46,0.31,0.62,0.85
P615,0.15,0.13,0.21,0.23,0.21,0.21,0.46,0.62,0.1,0.41,0.33,0.33,0.59,0.46,0.33,0.46,0.33,0.46,0.28,0.28,0.67,0.54,0.36,0.41,1,0.56,0.08,0,0.05,0.33,0.13,0.15,0.1,0.15,0.18,0.23,0.21,0.38,0.13,0.33,0.15,0.23,0.38,0.62,0.46,0.28,0.28,0.49,0.46,0.51,0.59,0.72
P616,0.56,0.56,0.22,0.11,0.56,0.11,0.22,0.44,0.44,0.56,0.33,0,0.67,0.56,0.44,0.56,0.11,0.67,1,0.78,0.78,0.56,0.44,0.56,0.78,0.78,0.44,0.33,0.33,0.44,0.56,0.33,0.11,0.22,0,0.11,0.11,0.56,0.22,0.67,0.56,0.33,0.44,0,0.56,0.56,0.11,0.44,0.56,0.67,0.67,0.33
P617,0.53,0.44,0.65,0.82,0.62,0.62,0.24,0.76,0.47,0.47,0.74,0.82,0.53,0.29,0.26,0.76,0.41,0.41,0.62,0.41,0.53,0.62,0.38,0.21,0.44,0.12,0.18,0.12,0.18,0.29,0.26,0,0.18,0.26,0.47,0.26,0.5,0.59,1,0.41,0.21,0.21,0.12,0.18,0.32,0.5,0.44,0.41,0.47,0.41,0.03,0
